country,income_focus
Afghanistan,LIC
Albania,UMIC
Algeria,UMIC
Angola,LMIC
Argentina,UMIC
Armenia,UMIC
Azerbaijan,UMIC
Bangladesh,LMIC
Belize,UMIC
Benin,LMIC
Bhutan,LMIC
Bolivia,LMIC
Botswana,UMIC
Brazil,UMIC
Burkina Faso,LIC
Burundi,LIC
Cabo Verde,LMIC
Cambodia,LMIC
Cameroon,LMIC
Central African Republic,LIC
Chad,LIC
China,UMIC
Colombia,UMIC
Comoros,LMIC
Congo,LMIC
Costa Rica,UMIC
Cote d'Ivoire,LMIC
Djibouti,LMIC
Dominican Republic,UMIC
Ecuador,UMIC
Egypt,LMIC
El Salvador,LMIC
Eswatini,LMIC
Ethiopia,LIC
Fiji,UMIC
Gabon,UMIC
Gambia,LIC
Georgia,UMIC
Ghana,LMIC
Guatemala,UMIC
Guinea,LMIC
Guinea-Bissau,LIC
Haiti,LMIC
Honduras,LMIC
India,LMIC
Indonesia,UMIC
Iran,LMIC
Iraq,UMIC
Jamaica,UMIC
Jordan,UMIC
Kenya,LMIC
Kyrgyz Republic,LMIC
Lao PDR,LMIC
Lebanon,LMIC
Lesotho,LMIC
Liberia,LIC
Madagascar,LIC
Malawi,LIC
Malaysia,UMIC
Maldives,UMIC
Mali,LIC
Mauritania,LMIC
Mexico,UMIC
Moldova,UMIC
Mongolia,LMIC
Morocco,LMIC
Mozambique,LIC
Myanmar,LMIC
Nepal,LMIC
Nicaragua,LMIC
Niger,LIC
Nigeria,LMIC
Pakistan,LMIC
Papua New Guinea,LMIC
Paraguay,UMIC
Peru,UMIC
Philippines,LMIC
Rwanda,LIC
Senegal,LMIC
Sierra Leone,LIC
South Africa,UMIC
Sri Lanka,LMIC
Tajikistan,LMIC
Tanzania,LMIC
Thailand,UMIC
Togo,LIC
Tunisia,LMIC
Uganda,LIC
Ukraine,UMIC
Uzbekistan,LMIC
Viet Nam,LMIC
Yemen,LIC
Zambia,LMIC
Zimbabwe,LMIC
